quote,character,movie
"    ,  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need.      ",Samwise Gamgee,The Return of the King
"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",Samwise Gamgee,The Return of the King
"  Take mine. ,  There's a few drops left.      ",Samwise Gamgee,The Return of the King
There will be none left for the return journey.,Frodo Baggins,The Return of the King
I don't think there will be a return journey Mr Frodo.,Samwise Gamgee,The Return of the King
"  Frodo, get down! ,  Hide!      ",Samwise Gamgee,The Return of the King
"    AAAAhhh! ,  ",Peregrin Took,The Return of the King
You have failed! The world of men will fall.,Witch-King of Angmar,The Return of the King
Gandalf!,Peregrin Took,The Return of the King
Where are they?,Peregrin Took,The Return of the King
Frodo!,Samwise Gamgee,The Return of the King
Is there any in this rout with authority to treat with me?,Mouth of Sauron,The Return of the King
"  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return.      ",Gandalf,The Return of the King
"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",Aragorn II Elessar,The Return of the King
Courage Merry. Courage for our friends.,�owyn,The Return of the King
"    Form ranks you maggots. Form ranks. Pikes in front, archers behind.     ",Gothmog (Lieutenant of Morgul),The Return of the King
"    Eomer, take your Eored down the left flank ",Th�oden,The Return of the King
Flank ready!,�omer,The Return of the King
"    Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH! ",Th�oden,The Return of the King
DEATH!,MINOR_CHARACTER,The Return of the King
DEATH!,Th�oden,The Return of the King
DEATH!,MINOR_CHARACTER,The Return of the King
DEATH!,Th�oden,The Return of the King
DEATH!,Th�oden,The Return of the King
"    Whatever happens, stay with me. I'll look after you.  ",�owyn,The Return of the King
"    Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!! ",Th�oden,The Return of the King
My master Sauron the Great bids thee welcome.,Mouth of Sauron,The Return of the King
Silence!,Gandalf,The Return of the King
No!,Meriadoc Brandybuck,The Return of the King
Silence!,Gandalf,The Return of the King
"  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would've thought one so small could endure so much pain?  And he did Gandalf, he did.      ",Mouth of Sauron,The Return of the King
You may go no further.,Aragorn II Elessar,The Return of the King
You will not enter Gondor,Aragorn II Elessar,The Return of the King
Frodo!,Peregrin Took,The Return of the King
Frodo!,Peregrin Took,The Return of the King
"Legolas, fire a warning shot past the boson's ear.  ",Aragorn II Elessar,The Return of the King
Mind your aim.,Gimli,The Return of the King
"Oh! , That's     it, right, we warned you! Prepare to be boarded!  ",Gimli,The Return of the King
Aha!  Old Greybeard!  I have a token I was bidden to show thee.,Mouth of Sauron,The Return of the King
Who are you to deny us passage?,MINOR_CHARACTER,The Return of the King
"Boarded, by you and whose army?  ",MINOR_CHARACTER,The Return of the King
Forth Eorlingas!,Th�oden,The Return of the King
DEATH!,�owyn,The Return of the King
CHAAAAARGE!,Th�oden,The Return of the King
Set a fire in our flesh!,Denethor I,The Return of the King
Stay this madness!,Gandalf,The Return of the King
Fire at will!,Gothmog (Lieutenant of Morgul),The Return of the King
"    You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!  ",Denethor I,The Return of the King
FIRE!,Gothmog (Lieutenant of Morgul),The Return of the King
"    NOOOOOO, you will not take my son from me!  ",Denethor I,The Return of the King
Aaaaaahhhh!,Denethor I,The Return of the King
"    So passes Denethor, son of Ecthelion.  ",Gandalf,The Return of the King
DEEEEAAATH!,Meriadoc Brandybuck,The Return of the King
NO! Aaahhh,Peregrin Took,The Return of the King
Faramir!,Denethor I,The Return of the King
And who is this?  Isildur's heir?  It takes more to make a King than a broken Elvish blade.,Mouth of Sauron,The Return of the King
I guess that concludes negotiations.,Gimli,The Return of the King
In there.,Gollum,The Return of the King
I do not believe it.  I will not.,Aragorn II Elessar,The Return of the King
This army.,Aragorn II Elessar,The Return of the King
What is this place?,Frodo Baggins,The Return of the King
I can't go back.,Frodo Baggins,The Return of the King
What's that smell.,Frodo Baggins,The Return of the King
Orcses' filth. Orcses come in here sometimes.,Gollum,The Return of the King
Now that I'm here I don't think I want to.,Frodo Baggins,The Return of the King
It's the only way. Go in' or go back.,Gollum,The Return of the King
Hurry! This way.,Gollum,The Return of the King
Smeagol?,Frodo Baggins,The Return of the King
Over here.,Gollum,The Return of the King
Master must go inside the tunnel.,Gollum,The Return of the King
" You'll see. Oh yes, you     will see. ",Gollum,The Return of the King
"  Re-form the line!  Re-form the line!,     ",Th�oden,The Return of the King
"  Sound the charge.  Take them head-on. Chaaarge! ,     ",Th�oden,The Return of the King
"Ah aah! Its sticky, what is it?  ",Frodo Baggins,The Return of the King
"  Take the reins, pull him left. ,  LEFT! ,     ",�owyn,The Return of the King
"  Make safe the city.,     ",Th�oden,The Return of the King
"  Bring it down! Bring it down!  Bring it down!,     ",Th�oden,The Return of the King
"  Merry! ,     ",�owyn,The Return of the King
Smeagol? (shouts) SMEAGOL! SMEAGOL!,Frodo Baggins,The Return of the King
Sam.,Frodo Baggins,The Return of the King
Ow!,Samwise Gamgee,The Return of the King
"  Cut him down! ,     ",MINOR_CHARACTER,The Return of the King
"  Aim for the heads! ,     ",�omer,The Return of the King
Aiya E'rendil Elenion Ancalim',Frodo Baggins,The Return of the King
"Naughty little fly. Why does he cry? ,Caught in a web. Soon     you'll be eaten.  ",Gollum,The Return of the King
"  Drive them to the river. ,     ",�omer,The Return of the King
"It wasn't us. It wasn't us. ,Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it.  ",Gollum,The Return of the King
"I have to destroy it Smeagol. , I have to destroy it for both our sakes.  ",Frodo Baggins,The Return of the King
"NO! , Aaaaaaaaa. ",Gollum,The Return of the King
"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out.  ",Galadriel,The Return of the King
I'm so sorry Sam.     I'm so sorry.,Frodo Baggins,The Return of the King
NO!,Frodo Baggins,The Return of the King
"One that is cursed. Long ago the men of the mountains swore an oath to     the last King of Gondor , to come to his aid, to fight. But when     the time came, when Gondor's need was dire, they fled vanishing into the     darkness of the mountain. And so Isildur cursed them, never to rest until     they had fulfilled their pledge. Who shall call them from the grey twilight,     the forgotten people? The heir of him to whom the oath they swore. From the     North shall he come, need shall drive him. He shall pass the door to the     Paths of the Dead.  ",Legolas,The Return of the King
Got away did it precious? Not this time. Not this time.,Gollum,The Return of the King
What kind of army would linger in such a place?,Gimli,The Return of the King
The very warmth of my blood seems stolen away.,Gimli,The Return of the King
